2021-09-08 11:40:09 INFO Collected 50 ID in genre MUSIC, rank 451-501
2021-09-08 11:40:12 INFO Collected 50 ID in genre MUSIC, rank 501-551
2021-09-08 11:40:14 INFO Collected 50 ID in genre MUSIC, rank 551-601
2021-09-08 11:40:17 INFO Collected 50 ID in genre MUSIC, rank 601-651
2021-09-08 11:40:20 INFO Collected 50 ID in genre MUSIC, rank 651-701
2021-09-08 11:40:22 INFO Collected 50 ID in genre MUSIC, rank 701-751
2021-09-08 11:40:25 INFO Collected 50 ID in genre MUSIC, rank 751-801
2021-09-08 11:40:28 INFO Collected 50 ID in genre MUSIC, rank 801-851
2021-09-08 11:40:30 INFO Collected 50 ID in genre MUSIC, rank 851-901
2021-09-08 11:40:33 INFO Collected 50 ID in genre MUSIC, rank 901-951
2021-09-08 11:40:35 INFO Collected 50 ID in genre MUSIC, rank 951-1001
2021-09-08 11:40:36 INFO Collected 1000 ID in MUSIC genre
2021-09-08 11:40:41 INFO Collected 50 ID in genre MUSICAL, rank 1-51
2021-09-08 11:40:42 INFO Collected 50 ID in genre MUSICAL, rank 51-101
2021-09-08 11:40:44 INFO Collected 50 ID in genre MUSICAL, rank 101-151
2021-09-08 11:40:46 INFO Collected 50 ID in genre MUSICAL, rank 151-201
2021-09-08 11:40:49 INFO Collected 50 ID in genre MUSICAL, rank 201-251
2021-09-08 11:40:51 INFO Collected 50 ID in genre MUSICAL, rank 251-301
2021-09-08 11:40:53 INFO Collected 50 ID in genre MUSICAL, rank 301-351
2021-09-08 11:40:55 INFO Collected 50 ID in genre MUSICAL, rank 351-401
2021-09-08 11:40:57 INFO Collected 50 ID in genre MUSICAL, rank 401-451
2021-09-08 11:40:59 INFO Collected 50 ID in genre MUSICAL, rank 451-501
2021-09-08 11:41:01 INFO Collected 50 ID in genre MUSICAL, rank 501-551
2021-09-08 11:41:03 INFO Collected 50 ID in genre MUSICAL, rank 551-601
2021-09-08 11:41:06 INFO Collected 50 ID in genre MUSICAL, rank 601-651
2021-09-08 11:41:08 INFO Collected 50 ID in genre MUSICAL, rank 651-701
2021-09-08 11:41:11 INFO Collected 50 ID in genre MUSICAL, rank 701-751
2021-09-08 11:41:13 INFO Collected 50 ID in genre MUSICAL, rank 751-801
2021-09-08 11:41:16 INFO Collected 50 ID in genre MUSICAL, rank 801-851
2021-09-08 11:41:19 INFO Collected 50 ID in genre MUSICAL, rank 851-901
2021-09-08 11:41:22 INFO Collected 50 ID in genre MUSICAL, rank 901-951
